ID,Biochar,Microbe,Plant,Replicate,Cmin,ShootMass_g,RootMass_g,PercentMoisture,PercentC_Soil,13C_Soil,PercentN_Soil,15N_Soil,CNratio_Soil,PercentC_Roots,13C_Roots,PercentN_Roots,15N_Roots,CNratio_Roots,PercentC_Shoots,13C_Shoots,PercentN_Shoot,15N_Shoots,CNratio_Shoot
B0_M_R1,0,Microbes,NoPlant,rep1,15.42,NA,NA,9.5,22.595,-27.911,0.422,3.415,53.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B0_M_R2,0,Microbes,NoPlant,rep2,17.95,NA,NA,23.7,29.976,-28.67,0.664,0.376,45.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B0_M_R3,0,Microbes,NoPlant,rep3,15.99,NA,NA,25.9,19.819,-27.339,0.483,-0.466,41.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_M_R1,2,Microbes,NoPlant,rep1,18.21,NA,NA,180,9.723,-21.313,0.306,3.627,31.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_M_R2,2,Microbes,NoPlant,rep2,14.67,NA,NA,32.3,23.343,-26.019,0.514,1.457,45.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_M_R3,2,Microbes,NoPlant,rep3,17,NA,NA,196.6,23.759,-27.652,0.487,1.621,48.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B5_M_R1,5,Microbes,NoPlant,rep1,13.74,NA,NA,29.5,22.035,-23.444,0.769,2.505,28.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B5_M_R2,5,Microbes,NoPlant,rep2,13.77,NA,NA,21.5,69.536,-25.322,1.975,1.71,35.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B5_M_R3,5,Microbes,NoPlant,rep3,11.98,NA,NA,182.8,46.293,-24.225,1.532,1.023,30.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10_M_R1,10,Microbes,NoPlant,rep1,20.9,NA,NA,157.4,42.484,-20.416,1.9,4.109,22.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10_M_R2,10,Microbes,NoPlant,rep2,15.08,NA,NA,297.7,29.102,-21.595,1.068,7.917,27.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10_M_R3,10,Microbes,NoPlant,rep3,13.76,NA,NA,30.6,22.348,-23.845,0.804,4.832,27.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B20_M_R1,20,Microbes,NoPlant,rep1,14.41,NA,NA,211.1,23.15,-21.808,0.807,3.791,28.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B20_M_R2,20,Microbes,NoPlant,rep2,14.31,NA,NA,190.6,34.038,-17.843,1.431,3.939,23.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B20_M_R3,20,Microbes,NoPlant,rep3,13.58,NA,NA,179.3,39.284,-21.352,1.408,4.637,27.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B0_C_R1,0,NoMicrobes,NoPlant,rep1,13.79,NA,NA,103.5,14.92,-27.829,0.357,0.84,41.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B0_C_R2,0,NoMicrobes,NoPlant,rep2,14.52,NA,NA,62.3,14.585,-27.394,0.352,1.378,41.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B0_C_R3,0,NoMicrobes,NoPlant,rep3,19.1,NA,NA,22.7,16.704,-23.179,0.471,2.008,35.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_C_R1,2,NoMicrobes,NoPlant,rep1,12.91,NA,NA,NA,19.463,-25.469,0.516,1.58,37.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_C_R2,2,NoMicrobes,NoPlant,rep2,12.79,NA,NA,207,15.755,-25.91,0.394,2.274,40.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_C_R3,2,NoMicrobes,NoPlant,rep3,12.38,NA,NA,21.5,18.362,-25.527,0.536,2.038,34.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B5_C_R1,5,NoMicrobes,NoPlant,rep1,13.43,NA,NA,53.5,28.239,-24.539,0.753,1.3,37.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B5_C_R2,5,NoMicrobes,NoPlant,rep2,12.01,NA,NA,216.9,19.562,-23.364,0.687,3.616,28.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B5_C_R3,5,NoMicrobes,NoPlant,rep3,12.44,NA,NA,40.7,22.791,-24.285,0.676,-0.163,33.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10_C_R1,10,NoMicrobes,NoPlant,rep1,12.91,NA,NA,178.3,22.599,-21.735,0.837,2.393,26.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10_C_R2,10,NoMicrobes,NoPlant,rep2,15.7,NA,NA,207.9,26.046,-20.87,1.183,6.306,22.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10_C_R3,10,NoMicrobes,NoPlant,rep3,11.17,NA,NA,31.1,24.394,-20.808,1.021,3.883,23.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B20_C_R1,20,NoMicrobes,NoPlant,rep1,13,NA,NA,166,30.672,-17.858,1.289,4.807,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
